cancer,model,seed,cindex
HNSC,CoxRidge,8,0.6076744955342375
HNSC,CoxRidge,9,0.6262203626220363
HNSC,Coxnnet,0,0.6530412034009156
HNSC,Coxnnet,1,0.5420345489443378
HNSC,Coxnnet,2,0.5770089285714286
HNSC,Coxnnet,3,0.6355866355866356
HNSC,Coxnnet,4,0.6194347657762292
HNSC,Coxnnet,5,0.5793322734499206
HNSC,Coxnnet,6,0.6144138160079707
HNSC,Coxnnet,7,0.6361890126776796
HNSC,Coxnnet,8,0.5954349983460139
HNSC,Coxnnet,9,0.643305439330544
HNSC,CoxMLP,0,0.6370176586003924
HNSC,CoxMLP,1,0.5550863723608446
HNSC,CoxMLP,2,0.5595238095238095
HNSC,CoxMLP,3,0.655011655011655
HNSC,CoxMLP,4,0.6391792489353465
HNSC,CoxMLP,5,0.5583465818759936
HNSC,CoxMLP,6,0.6253736300232481
HNSC,CoxMLP,7,0.6338839800230504
HNSC,CoxMLP,8,0.5673172345352299
HNSC,CoxMLP,9,0.6436541143654114
HNSC,VAECox,0,0.6344015696533682
HNSC,VAECox,1,0.6046065259117083
HNSC,VAECox,2,0.6201636904761905
HNSC,VAECox,3,0.6072261072261073
HNSC,VAECox,4,0.6600851722802943
HNSC,VAECox,5,0.5640699523052464
HNSC,VAECox,6,0.617734971770176
HNSC,VAECox,7,0.6258163657318478
HNSC,VAECox,8,0.5762487595104201
HNSC,VAECox,9,0.6147140864714087
KIRC,CoxLasso,0,0.7017283950617283
KIRC,CoxLasso,1,0.6247987117552335
KIRC,CoxLasso,2,0.7133907595927956
KIRC,CoxLasso,3,0.7602179836512262
KIRC,CoxLasso,4,0.6996957844415471
KIRC,CoxLasso,5,0.69362292051756
KIRC,CoxLasso,6,0.7005163511187608
KIRC,CoxLasso,7,0.7700854700854701
KIRC,CoxLasso,8,0.743733794295592
KIRC,CoxLasso,9,0.6225854383358098
KIRC,CoxRidge,0,0.7012345679012346
KIRC,CoxRidge,1,0.6239935587761675
KIRC,CoxRidge,2,0.7133907595927956
KIRC,CoxRidge,3,0.759763851044505
KIRC,CoxRidge,4,0.6996957844415471
KIRC,CoxRidge,5,0.6926987060998152
KIRC,CoxRidge,6,0.7013769363166954
KIRC,CoxRidge,7,0.767948717948718
KIRC,CoxRidge,8,0.7433016421780466
KIRC,CoxRidge,9,0.6225854383358098
KIRC,Coxnnet,0,0.734320987654321
KIRC,Coxnnet,1,0.7302737520128825
KIRC,Coxnnet,2,0.7270947533281128
